Timestamp,kW orig,hour,yyyymm,kW
2024-08-05 10:00:00,2.0695,10,2024-08,2.0695
2024-08-05 11:00:00,1.024799,11,2024-08,1.024799
2024-08-05 12:00:00,0.2689,12,2024-08,0.3304
2024-08-05 13:00:00,0.2628,13,2024-08,0.5539
2024-08-05 14:00:00,0.4207,14,2024-08,0.4654
2024-08-05 15:00:00,0.3511,15,2024-08,0.4614
2024-08-05 16:00:00,0.9793,16,2024-08,0.9793
2024-08-05 17:00:00,0.8226,17,2024-08,0.8226
2024-08-05 18:00:00,0.4227,18,2024-08,0.4227
2024-08-05 19:00:00,0.44,19,2024-08,0.44
2024-08-05 20:00:00,0.4279,20,2024-08,0.4279
2024-08-05 21:00:00,0.4845,21,2024-08,0.4845
2024-08-05 22:00:00,0.3728,22,2024-08,0.3728
2024-08-05 23:00:00,0.257199,23,2024-08,0.257199
2024-08-06 00:00:00,1.0488,0,2024-08,1.0488
2024-08-06 01:00:00,1.1903,1,2024-08,1.1903
2024-08-06 02:00:00,1.1845,2,2024-08,1.1845
2024-08-06 03:00:00,0.9954,3,2024-08,0.9954
2024-08-06 04:00:00,0.3004,4,2024-08,0.3004
2024-08-06 05:00:00,0.7059,5,2024-08,0.7059
2024-08-06 06:00:00,0.9944,6,2024-08,0.9944
2024-08-06 07:00:00,1.0762,7,2024-08,1.0762
2024-08-06 08:00:00,1.1545,8,2024-08,1.1545
2024-08-06 09:00:00,1.0725,9,2024-08,1.0725
2024-08-06 10:00:00,2.025599,10,2024-08,2.025599
2024-08-06 11:00:00,1.043199,11,2024-08,1.043199
2024-08-06 12:00:00,0.3126,12,2024-08,1.2253
2024-08-06 13:00:00,0.3516,13,2024-08,1.1452
2024-08-06 14:00:00,0.3917,14,2024-08,1.2833
2024-08-06 15:00:00,0.4312,15,2024-08,0.4594
2024-08-06 16:00:00,0.9939,16,2024-08,0.9939
2024-08-06 17:00:00,0.8776,17,2024-08,0.8776
2024-08-06 18:00:00,0.4936,18,2024-08,0.4936
2024-08-06 19:00:00,0.4623,19,2024-08,0.4623
2024-08-06 20:00:00,0.5351,20,2024-08,0.5351
2024-08-06 21:00:00,0.4332,21,2024-08,0.4332
2024-08-06 22:00:00,0.294,22,2024-08,0.294
2024-08-06 23:00:00,0.3477,23,2024-08,0.3477
2024-08-07 00:00:00,1.1733,0,2024-08,1.1733
2024-08-07 01:00:00,1.1385,1,2024-08,1.1385
2024-08-07 02:00:00,1.243,2,2024-08,1.243
2024-08-07 03:00:00,0.9635,3,2024-08,0.9635
2024-08-07 04:00:00,0.3166,4,2024-08,0.3166
2024-08-07 05:00:00,0.6528,5,2024-08,0.6528
2024-08-07 06:00:00,1.0623,6,2024-08,1.0623
2024-08-07 07:00:00,1.1134,7,2024-08,1.1134
2024-08-07 08:00:00,1.0642,8,2024-08,1.0642
2024-08-07 09:00:00,1.1009,9,2024-08,1.1009
2024-08-07 10:00:00,1.9612,10,2024-08,1.9612
2024-08-07 11:00:00,1.0341,11,2024-08,1.0341
2024-08-07 12:00:00,0.3636,12,2024-08,0.7286
2024-08-07 13:00:00,0.3471,13,2024-08,0.6354
2024-08-07 14:00:00,0.428,14,2024-08,0.3081
2024-08-07 15:00:00,0.3199,15,2024-08,0.4058
2024-08-07 16:00:00,0.9726,16,2024-08,0.9726
2024-08-07 17:00:00,0.9678,17,2024-08,0.9678
2024-08-07 18:00:00,0.4787,18,2024-08,0.4787
2024-08-07 19:00:00,0.5203,19,2024-08,0.5203
2024-08-07 20:00:00,0.4766,20,2024-08,0.4766
2024-08-07 21:00:00,0.3645,21,2024-08,0.3645
2024-08-07 22:00:00,0.326,22,2024-08,0.326
2024-08-07 23:00:00,0.3668,23,2024-08,0.3668
2024-08-08 00:00:00,1.1371,0,2024-08,1.1371
2024-08-08 01:00:00,1.1878,1,2024-08,1.1878
2024-08-08 02:00:00,1.2887,2,2024-08,1.2887
2024-08-08 03:00:00,0.9563,3,2024-08,0.9563
2024-08-08 04:00:00,0.3125,4,2024-08,0.3125
2024-08-08 05:00:00,0.6951,5,2024-08,0.6951
2024-08-08 06:00:00,1.0565,6,2024-08,1.0565
2024-08-08 07:00:00,1.1297,7,2024-08,1.1297
2024-08-08 08:00:00,1.0777,8,2024-08,1.0777
2024-08-08 09:00:00,1.0381,9,2024-08,1.0381
2024-08-08 10:00:00,2.0469,10,2024-08,2.0469
2024-08-08 11:00:00,1.0236,11,2024-08,1.0236
2024-08-08 12:00:00,0.3535,12,2024-08,8.4297
2024-08-08 13:00:00,0.3798,13,2024-08,10.4654
2024-08-08 14:00:00,0.4261,14,2024-08,10.7497
2024-08-08 15:00:00,0.2784,15,2024-08,3.3458
2024-08-08 16:00:00,0.9518,16,2024-08,0.9518
2024-08-08 17:00:00,0.9094,17,2024-08,0.9094
2024-08-08 18:00:00,0.4589,18,2024-08,0.4589
2024-08-08 19:00:00,0.4605,19,2024-08,0.4605
2024-08-08 20:00:00,0.4906,20,2024-08,0.4906
2024-08-08 21:00:00,0.3469,21,2024-08,0.3469
2024-08-08 22:00:00,0.2943,22,2024-08,0.2943
2024-08-08 23:00:00,0.4034,23,2024-08,0.4034
2024-08-09 00:00:00,1.161,0,2024-08,1.161
2024-08-09 01:00:00,1.125,1,2024-08,1.125
2024-08-09 02:00:00,1.1373,2,2024-08,1.1373
2024-08-09 03:00:00,0.8886,3,2024-08,0.8886
2024-08-09 04:00:00,0.3144,4,2024-08,0.3144
2024-08-09 05:00:00,0.6827,5,2024-08,0.6827
2024-08-09 06:00:00,1.117,6,2024-08,1.117
2024-08-09 07:00:00,1.0618,7,2024-08,1.0618
2024-08-09 08:00:00,1.034899,8,2024-08,1.034899
2024-08-09 09:00:00,1.0575,9,2024-08,1.0575
2024-08-09 10:00:00,1.9721,10,2024-08,1.9721
2024-08-09 11:00:00,1.1364,11,2024-08,1.1364
2024-08-09 12:00:00,0.3299,12,2024-08,8.5884
2024-08-09 13:00:00,0.3946,13,2024-08,7.0937
2024-08-09 14:00:00,0.354,14,2024-08,0.6072
2024-08-09 15:00:00,0.301,15,2024-08,0.3396
2024-08-09 16:00:00,0.9253,16,2024-08,0.9253
2024-08-09 17:00:00,0.9795,17,2024-08,0.9795
2024-08-09 18:00:00,0.4638,18,2024-08,0.4638
2024-08-09 19:00:00,0.4987,19,2024-08,0.4987
2024-08-09 20:00:00,0.3736,20,2024-08,0.3736
2024-08-09 21:00:00,0.3811,21,2024-08,0.3811
2024-08-09 22:00:00,0.2945,22,2024-08,0.2945
2024-08-09 23:00:00,0.4066,23,2024-08,0.4066
2024-08-10 00:00:00,1.1773,0,2024-08,1.1773
2024-08-10 01:00:00,1.1448,1,2024-08,1.1448
2024-08-10 02:00:00,1.067,2,2024-08,1.067
2024-08-10 03:00:00,0.9696,3,2024-08,0.9696
2024-08-10 04:00:00,0.3387,4,2024-08,0.3387
2024-08-10 05:00:00,0.7572,5,2024-08,0.7572
2024-08-10 06:00:00,1.0664,6,2024-08,1.0664
2024-08-10 07:00:00,1.1389,7,2024-08,1.1389
2024-08-10 08:00:00,0.9871,8,2024-08,0.9871
2024-08-10 09:00:00,1.0423,9,2024-08,1.0423
2024-08-10 10:00:00,2.0451,10,2024-08,2.0451
2024-08-10 11:00:00,1.078,11,2024-08,1.078
2024-08-10 12:00:00,0.3715,12,2024-08,1.0939
2024-08-10 13:00:00,0.3453,13,2024-08,0.9936
2024-08-10 14:00:00,0.3597,14,2024-08,0.3783
2024-08-10 15:00:00,0.2728,15,2024-08,0.3833
2024-08-10 16:00:00,0.9751,16,2024-08,0.9751
2024-08-10 17:00:00,0.9959,17,2024-08,0.9959
2024-08-10 18:00:00,0.4873,18,2024-08,0.4873
2024-08-10 19:00:00,0.4003,19,2024-08,0.4003
2024-08-10 20:00:00,0.4085,20,2024-08,0.4085
2024-08-10 21:00:00,0.323,21,2024-08,0.323
2024-08-10 22:00:00,0.4613,22,2024-08,0.4613
2024-08-10 23:00:00,0.3712,23,2024-08,0.3712
