Timestamp,season,period,period_type,solar_efficiency,demand,start_battery_level,end_battery_level,solar_generation,from_solar,from_battery,from_grid,to_battery,to_grid,month,hour,day,yyyymm,ymd
2038-07-29 00:00:00,summer,summer off peak,off peak,0.9454329582181962,1.1211,15.0,13.8789,0.0,0.0,1.1211,0.0,0.0,0.0,8,0,1,2024-08,2024-08-01
2038-07-29 01:00:00,summer,summer off peak,off peak,0.9454329582181962,1.1531,13.8789,12.7258,0.0,0.0,1.1531,0.0,0.0,0.0,8,1,1,2024-08,2024-08-01
2038-07-29 02:00:00,summer,summer off peak,off peak,0.9454329582181962,1.0261,12.7258,11.6997,0.0,0.0,1.0261,0.0,0.0,0.0,8,2,1,2024-08,2024-08-01
2038-07-29 03:00:00,summer,summer off peak,off peak,0.9454329582181962,0.9369,11.6997,10.7628,0.0,0.0,0.9369,0.0,0.0,0.0,8,3,1,2024-08,2024-08-01
2038-07-29 04:00:00,summer,summer off peak,off peak,0.9454329582181962,0.2966,10.7628,10.4662,0.0,0.0,0.2966,0.0,0.0,0.0,8,4,1,2024-08,2024-08-01
2038-07-29 05:00:00,summer,summer off peak,off peak,0.9454329582181962,0.8032,10.4662,9.663,0.0,0.0,0.8032,0.0,0.0,0.0,8,5,1,2024-08,2024-08-01
2038-07-29 06:00:00,summer,summer off peak,off peak,0.9454329582181962,1.0509,9.663,8.6121,0.0,0.0,1.0509,0.0,0.0,0.0,8,6,1,2024-08,2024-08-01
2038-07-29 07:00:00,summer,summer off peak,off peak,0.9454329582181962,1.0842,8.6121,7.5279,0.0,0.0,1.0842,0.0,0.0,0.0,8,7,1,2024-08,2024-08-01
2038-07-29 08:00:00,summer,summer off peak,off peak,0.9454329582181962,1.034,7.5279,6.4939,0.0,0.0,1.034,0.0,0.0,0.0,8,8,1,2024-08,2024-08-01
2038-07-29 09:00:00,summer,summer off peak,off peak,0.9454329582181962,0.9856,6.4939,5.5083,0.0,0.0,0.9856,0.0,0.0,0.0,8,9,1,2024-08,2024-08-01
2038-07-29 10:00:00,summer,summer off peak,off peak,0.9454329582181962,2.1351,5.5083,8.08523786375949,4.712037863759489,2.1351,0.0,0.0,2.5769378637594893,0.0,8,10,1,2024-08,2024-08-01
2038-07-29 11:00:00,summer,summer off peak,off peak,0.9454329582181962,1.106,8.08523786375949,12.349297066438844,5.370059202679354,1.106,0.0,0.0,4.264059202679354,0.0,8,11,1,2024-08,2024-08-01
2038-07-29 12:00:00,summer,summer off peak,off peak,0.9454329582181962,8.5343,12.349297066438844,9.457340961085038,5.642343894646195,5.642343894646195,2.891956105353805,0.0,0.0,0.0,8,12,1,2024-08,2024-08-01
2038-07-29 13:00:00,summer,summer off peak,off peak,0.9454329582181962,8.3484,9.457340961085038,6.690777146405268,5.58183618532023,5.58183618532023,2.7665638146797695,0.0,0.0,0.0,8,13,1,2024-08,2024-08-01
2038-07-29 14:00:00,summer,summer off peak,off peak,0.9454329582181962,5.7555,6.690777146405268,6.1238132211067295,5.188536074701461,5.188536074701461,0.5669639252985386,0.0,0.0,0.0,8,14,1,2024-08,2024-08-01
2038-07-29 15:00:00,summer,summer part peak,part peak,0.9454329582181962,0.3669,6.1238132211067295,10.438697230203235,4.681784009096507,0.3669,0.0,0.0,4.314884009096507,0.0,8,15,1,2024-08,2024-08-01
2038-07-29 16:00:00,summer,summer peak,peak,0.9454329582181962,1.015099,10.438697230203235,13.25827430873624,3.8346760785330036,1.015099,0.0,0.0,2.819577078533004,0.0,8,16,1,2024-08,2024-08-01
2038-07-29 17:00:00,summer,summer peak,peak,0.9454329582181962,0.9717,13.25827430873624,14.88084234608697,2.5942680373507305,0.9717,0.0,0.0,1.6225680373507305,0.0,8,17,1,2024-08,2024-08-01
2038-07-29 18:00:00,summer,summer peak,peak,0.9454329582181962,0.5301,14.88084234608697,15.530642677943279,1.1799003318563088,0.5301,0.0,0.0,0.6498003318563088,0.0,8,18,1,2024-08,2024-08-01
