hour,electricity
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.21341935483870966
8,1.3824516129032258
9,2.594322580645161
10,3.3638709677419354
11,3.7236129032258067
12,3.7984516129032255
13,3.3313548387096774
14,2.5687741935483874
15,1.4763870967741937
16,0.3695483870967742
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.6505714285714286
8,1.9120000000000001
9,3.0911428571428567
10,3.7768571428571427
11,3.9534285714285713
12,3.7554285714285713
13,3.410857142857143
14,2.7437142857142858
15,1.9100000000000001
16,0.7894285714285714
17,0.020285714285714285
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0012903225806451613
7,0.3192258064516129
8,1.542451612903226
9,2.8193548387096774
10,3.779612903225807
11,4.454967741935484
12,4.728516129032259
13,4.702451612903226
14,4.31174193548387
15,3.600258064516129
16,2.54141935483871
17,1.3375483870967741
18,0.3269677419354839
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.4461333333333333
8,1.6866666666666668
9,3.130933333333333
10,4.2576
11,5.020266666666667
12,5.367466666666667
13,5.382133333333333
14,5.121066666666667
15,4.436266666666667
16,3.4261333333333335
17,2.182666666666667
18,0.8042666666666667
19,0.015466666666666665
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.05161290322580645
7,0.7135483870967743
8,1.8753548387096775
9,3.2319999999999998
10,4.3517419354838704
11,5.140387096774194
12,5.501677419354839
13,5.5037419354838715
14,5.255483870967742
15,4.704000000000001
16,3.7279999999999998
17,2.4139354838709677
18,1.1060645161290321
19,0.19741935483870968
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.1890666666666667
7,0.9359999999999999
8,2.3002666666666665
9,3.692533333333333
10,4.761333333333334
11,5.449066666666667
12,5.7951999999999995
13,5.774133333333333
14,5.439733333333334
15,4.7424
16,3.7538666666666667
17,2.5512
18,1.256
19,0.31706666666666666
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.1256774193548387
7,0.8709677419354839
8,2.3341935483870966
9,3.785290322580645
10,4.916903225806452
11,5.632774193548387
12,5.9878709677419355
13,5.998451612903226
14,5.665548387096774
15,5.02141935483871
16,4.038451612903226
17,2.751225806451613
18,1.3189677419354837
19,0.2787096774193549
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.006193548387096774
7,0.687483870967742
8,2.2384516129032255
9,3.734451612903226
10,4.853161290322581
11,5.574967741935485
12,5.918193548387097
13,5.9236129032258065
14,5.5772903225806445
15,4.902193548387096
16,3.882838709677419
17,2.552258064516129
18,1.0717419354838709
19,0.07019354838709678
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.3376
8,1.7797333333333334
9,3.3624
10,4.554133333333334
11,5.2885333333333335
12,5.747733333333333
13,5.8184
14,5.524533333333333
15,4.870666666666667
16,3.7944
17,2.3309333333333333
18,0.6949333333333333
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.03509677419354838
8,1.3052903225806451
9,3.1277419354838707
10,4.529806451612903
11,5.358451612903226
12,5.763870967741935
13,5.735483870967743
14,5.397677419354839
15,4.734193548387096
16,3.497290322580645
17,1.8449032258064517
18,0.18270967741935482
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.3512
8,1.8352
9,3.283466666666667
10,4.1624
11,4.6216
12,4.556533333333333
13,4.174933333333334
14,3.5621333333333336
15,2.490133333333333
16,1.1640000000000001
17,0.12000000000000001
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.048
8,0.8376774193548387
9,1.8990967741935483
10,2.8547096774193546
11,3.391483870967742
12,3.3806451612903223
13,2.8356129032258064
14,2.021677419354839
15,1.096258064516129
16,0.23148387096774195
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
