month,ELEC generation cost,ELEC generation credit,ELEC delivery cost,ELEC delivery credit,ELEC bonus credit,ELEC other cost,ELEC grid cost,to_grid,generation net cost,generation credit applied,generation rollover credit,delivery net cost,delivery credit applied,delivery rollover credit,bonus credit applied,bonus rollover credit,net cost,grid cost
1,116.40929414730999,0.09153408000000021,148.98955107737999,0.005405050000000012,0.024349000000000058,68.06986704595,519.27229923584,1.8730000000000047,116.29341106730999,0.0915340800000024,-2.192690473634684e-15,148.95979702737998,0.00540505000000735,-7.337880303381894e-15,0.048698000000000116,0.024349000000000058,333.29872614064,519.27229923584
2,84.26551407042,0.6495278128299996,108.52527691846,0.03680089254999998,0.18397081299999987,53.66953905161,423.82275455212,14.151600999999992,83.40766644458999,0.6495278128300015,-4.107825191113079e-15,108.30450521291,0.03680089254999075,1.887379141862766e-15,0.3922906259999998,0.18397081299999987,245.19773989611,423.82275455212
3,95.2628239873,0.9319108157999998,123.49933194805,0.05352281380999998,0.44865991299999985,59.02128466245,563.26111931126,34.512300999999994,93.6982824455,0.9319108157999949,7.771561172376096e-16,122.99714922124,0.05352281381000523,-3.3653635433950058e-15,1.0812906389999997,0.44865991299999985,275.26805641619,563.26111931126
4,48.874072534439996,0.93381033738,64.07476394404,0.011700183,1.8270395389999998,37.85402202416,461.26971041557,140.541503,45.664562745059996,0.9338103373800024,-1.6653345369377348e-15,62.23602422204,0.011700183000002085,-5.450501161519128e-15,4.102738990999999,1.8270395389999998,143.92756945226,461.26971041557
5,41.424789818339995,1.352852319,54.367899399189994,0.041312191,1.5539134,34.39243710251,476.22757799742,119.53179999999999,36.69098456034,1.3528523190000001,-1.7763568394002505e-15,52.77267380819,0.041312190999995835,-1.2906342661267445e-15,4.934866338999999,1.5539134,122.30218207104,476.22757799742
6,5.392037263860001,9.82111026608,4.900003697550001,15.60095901497,3.2235126689999998,16.77388579437,422.6991093648,247.962513,0.0,5.392037263860001,4.429073002219997,0.0,4.900003697550001,10.700955317419997,0.0,11.224451406999998,15.0,422.6991093648
7,9.759318372580005,49.17108358842,8.285237145150004,6.693162514049997,2.5405992559999997,17.728618152610004,483.9618300073,195.430712,0.0,9.759318372580005,43.84083821805999,0.0,8.285237145150004,9.10888068631999,0.0,18.846249174999997,15.0,483.9618300073
8,36.103735183480005,242.20540358343,30.618553993570007,53.72551020094,3.8326093779999995,25.085016668610002,473.4369025661,294.816106,0.0,36.103735183480005,249.94250661801,0.0,30.618553993570007,32.21583689368998,0.0,30.344077309,15.0,473.4369025661
9,55.7898516882,885.9882403530099,46.8395588125,13.27163634993,3.653088478,30.1754649999,486.30217649112,281.00680600000004,0.0,55.7898516882,1080.1408952828199,0.0,45.48747324361998,0.0,1.352085568880021,39.95125717411998,15.0,486.30217649112
10,38.04699510576,4.11168780328,49.93471811016,4.13115500214,1.092887926,32.81116965864,471.11711627174,84.06830199999999,0.0,38.04699510576,1046.2055879803397,3.6665300819000137,4.131155002139998,1.7763568394002505e-15,42.13703302611999,1.092887926,18.666530081900014,471.11711627174
11,71.2337318893,0.9988360422899999,91.78443633705,0.09269411675,0.26233351299999996,47.70373234345001,455.62795537329,20.179500999999995,0.0,71.2337318893,975.9706921333296,90.0741872683,0.09269411674999617,5.6066262743570405e-15,1.6175549519999999,0.26233351299999996,136.16036465975,455.62795537329
12,120.88396555304999,0.0,153.49821038647,0.0,0.0,69.6485285519,498.09208803902,0.0,0.0,120.88396555304999,855.0867265802797,153.23587687347,0.0,5.6066262743570405e-15,0.26233351299999996,0.0,222.62207191237002,498.09208803902
