Timestamp,demand,season,period,period_type,solar_efficiency,month,hour,day,yyyymm,ymd
2024-08-03 12:00:00,0.7486,summer,summer off peak,off peak,1.0,8,12,3,2024-08,2024-08-03
2024-08-03 13:00:00,0.9436,summer,summer off peak,off peak,1.0,8,13,3,2024-08,2024-08-03
2024-08-03 14:00:00,0.7175,summer,summer off peak,off peak,1.0,8,14,3,2024-08,2024-08-03
2024-08-03 15:00:00,0.466,summer,summer part peak,part peak,1.0,8,15,3,2024-08,2024-08-03
2024-08-03 16:00:00,1.020799,summer,summer peak,peak,1.0,8,16,3,2024-08,2024-08-03
2024-08-03 17:00:00,0.9733,summer,summer peak,peak,1.0,8,17,3,2024-08,2024-08-03
2024-08-03 18:00:00,0.4413,summer,summer peak,peak,1.0,8,18,3,2024-08,2024-08-03
2024-08-03 19:00:00,0.5491,summer,summer peak,peak,1.0,8,19,3,2024-08,2024-08-03
2024-08-03 20:00:00,0.4932,summer,summer peak,peak,1.0,8,20,3,2024-08,2024-08-03
2024-08-03 21:00:00,0.4946,summer,summer part peak,part peak,1.0,8,21,3,2024-08,2024-08-03
2024-08-03 22:00:00,0.4031,summer,summer part peak,part peak,1.0,8,22,3,2024-08,2024-08-03
2024-08-03 23:00:00,0.3724,summer,summer part peak,part peak,1.0,8,23,3,2024-08,2024-08-03
2024-08-04 00:00:00,1.0426,summer,summer off peak,off peak,1.0,8,0,4,2024-08,2024-08-04
2024-08-04 01:00:00,0.9985,summer,summer off peak,off peak,1.0,8,1,4,2024-08,2024-08-04
2024-08-04 02:00:00,1.1825,summer,summer off peak,off peak,1.0,8,2,4,2024-08,2024-08-04
2024-08-04 03:00:00,0.9918,summer,summer off peak,off peak,1.0,8,3,4,2024-08,2024-08-04
2024-08-04 04:00:00,0.4234,summer,summer off peak,off peak,1.0,8,4,4,2024-08,2024-08-04
2024-08-04 05:00:00,0.6752,summer,summer off peak,off peak,1.0,8,5,4,2024-08,2024-08-04
2024-08-04 06:00:00,1.0038,summer,summer off peak,off peak,1.0,8,6,4,2024-08,2024-08-04
2024-08-04 07:00:00,0.9821,summer,summer off peak,off peak,1.0,8,7,4,2024-08,2024-08-04
2024-08-04 08:00:00,1.0341,summer,summer off peak,off peak,1.0,8,8,4,2024-08,2024-08-04
