month,year_month,to_grid,from_grid,generation net cost,generation credit applied,generation rollover credit,delivery net cost,delivery credit applied,delivery rollover credit,bonus credit applied,bonus rollover credit,grid cost,net cost,savings,cumulative savings,cumulative pge,cumulative net
2,2030-02-01,8.710706469927436,691.0233127301233,0.0,100.41805555586954,1602.3354378398656,128.6637364455495,0.03939211108956897,-1.2621848011207248e-14,0.0,0.0,495.8126773355765,189.50807422040083,306.30460311517567,-16976.358253252623,25456.72427183004,5801.122525082666
3,2030-03-01,41.23112302427801,817.0602689068785,0.0,117.60742759296733,1486.2620555227093,151.94526962950428,0.1449235284082988,1.3378187446733136e-14,0.0,0.0,658.9358419414588,221.15123672226244,437.78460521919635,-16538.573648033427,26115.6601137715,6022.273761804928
4,2030-04-01,119.43242193958655,404.87282389835775,0.0,57.4189651532844,1430.5698690746508,75.16296413762066,0.14328018524180663,-4.440892098500626e-16,0.0,0.0,539.6203191983757,117.02331190406888,422.5970072943068,-16115.976640739122,26655.280432969877,6139.297073708996
5,2030-05-01,113.31556519101747,352.153883721021,0.0,49.906074305245156,1384.3198813589636,65.1007679121944,0.39837979946918267,-3.497202527569243e-15,0.0,0.0,557.1189086283493,103.46359995652702,453.65530867182235,-15662.321332067298,27212.399341598226,6242.760673665523
6,2030-06-01,224.6624934358144,16.87132708003175,0.0,3.4022755065724017,1392.7126587988898,0.0,3.0918114520510893,18.88448822303459,0.0,0.0,494.4981713947874,16.11928903572178,478.3788823590656,-15183.942449708233,27706.897512993015,6258.879962701245
7,2030-07-01,296.32340174840317,172.8419774788552,0.0,39.948475933997464,1574.289133671876,0.0,34.253752614133774,14.287924962032534,0.0,0.0,566.1668895473048,26.46679981881958,539.7000897284852,-14644.242359979748,28273.06440254032,6285.346762520065
8,2030-08-01,291.1867593679022,191.9761610518687,0.0,44.36539126747465,2085.4737456080993,0.0,37.764128740604136,45.843364973513545,0.0,11.356283615348186,553.8542130868381,20.16535707277166,533.6888560140663,-14110.553503965682,28826.918615627157,6305.512119592836
9,2030-09-01,262.6324187221811,266.4075666360402,0.0,65.14537610364839,2337.362861082503,0.0,54.62814399219518,10.932264939145782,0.0,21.59894794551325,568.9047639147675,15.0,553.9047639147675,-13556.648740050914,29395.823379541926,6320.512119592836
10,2030-10-01,93.02047155344026,338.39364127662236,0.0,47.99957236840322,2303.6985121146427,21.833955567991115,17.09123553512468,0.0,24.017480205902697,1.2092661301947234,551.1403912330103,36.83395556799111,514.3064356650192,-13042.342304385897,29946.963770774935,6357.346075160827
11,2030-11-01,20.885860468595197,547.781945864679,0.0,79.10499396725584,2225.696497187797,100.0783219844444,0.15890377644034004,6.106226635438361e-16,1.7522985023781987,0.27151618609173755,534.5749295810358,149.66734524438039,384.9075843366554,-12657.434720049241,30481.53870035597,6507.013420405207
12,2030-12-01,0.0,994.1487152934739,0.0,145.77848584209775,2079.918011345699,184.97151358717906,0.0,6.106226635438361e-16,0.27151618609173755,0.0,582.6972928607211,265.65448643602974,317.0428064246913,-12340.39191362455,31064.23599321669,6772.667906841237
1,2031-01-01,0.5619714357348418,933.4951743689536,0.0,141.1938179990357,1938.756343732502,180.81442089417848,0.002837955750464971,-3.4095989920324143e-15,0.0,0.0,631.7741500012061,260.22221436285525,371.5519356383508,-11968.839977986197,31696.010143217896,7032.890121204092
2,2031-02-01,8.136372448047714,692.6626430392027,0.0,104.68631090660972,1834.366932230303,134.1452976483727,0.02371317156234909,-5.8772431366094224e-15,0.0,0.0,515.6451844289996,196.93651680116074,318.7086676278389,-11650.13131035836,32211.655327646895,7229.826638005253
3,2031-03-01,40.27325933618089,819.745889811251,0.0,122.71835109394408,1712.2265507280322,158.65090118226746,0.0430772717829484,-1.2649603586822877e-14,0.0,0.0,685.2932756191171,230.2104050955591,455.08287052355803,-11195.048439834802,32896.94860326601,7460.037043100812
4,2031-04-01,117.49272986382817,407.0852285867644,0.0,60.04367078269143,1652.7244002554858,78.71996071668568,0.026562784150939933,-3.400058012914542e-16,0.0,0.0,561.2051319663108,121.80737032187174,439.397761644439,-10755.650678190363,33458.15373523232,7581.844413422684
5,2031-05-01,111.33984733825336,354.89168531813687,0.0,52.305829076429774,1601.317190593696,68.56764493677419,0.0810571010462553,-3.469446951953614e-15,0.0,0.0,579.4036649734834,108.05388867892651,471.3497762945569,-10284.300901895807,34037.557400205806,7689.89830210161
6,2031-06-01,220.81507271407108,17.612847159711638,0.0,3.6938830322334386,1604.538998729899,0.0,3.3568092412076123,15.30013106106698,0.0,0.0,514.2780982505789,16.21522280286552,498.06287544771334,-9786.238026448093,34551.835498456385,7706.1135249044755
7,2031-07-01,182.0715599999146,71.5568656157006,0.0,16.663514939208525,1644.805061072541,0.0,14.476725390103788,12.921872515112938,0.0,0.0,588.813565129197,19.93716512777635,568.8764000014206,-9217.361626446673,35140.64906358558,7726.050690032252
8,2031-08-01,288.87859035443057,194.4280867716612,0.0,46.657483923878964,2217.6304636297536,0.0,39.742993118891015,48.042861592851644,0.0,0.0,576.0083816103115,28.41483534262992,547.5935462676816,-8669.76808017899,35716.657445195895,7754.4655253748815
